#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
565	  77.55	 -42.40	       	       	 11.929	 11.339	 11.048	 16.302	19.72	 6.46	40.15	21.17	-1.82	  0.22	M	Simbad	072.367957	+19.277372
566	  86.17	 -24.50	  8.316	  7.740	  6.642	  6.433	  6.355	       	20.89	 4.48	40.59	20.32	 0.61	  1.19	M	Simbad	072.383852	+15.888746
567	  62.10	 -34.10	       	       	 10.097	  9.444	  9.220	 13.347	15.33	20.09	39.75	21.91	-0.32	  0.61	M	Simbad	072.399430	+21.760829
568	  83.27	 -35.95	       	       	 11.652	 11.009	 10.754	 15.756	20.87	 4.47	40.46	20.56	-1.29	  0.24	M	Simbad	072.402452	+17.033096
569	  93.41	   9.65	       	       	 10.461	  9.886	  9.627	 14.100	22.99	 9.68	41.07	19.33	 1.15	  0.39	M	Simbad	072.467071	+06.109349
570	  96.62	 -78.40	       	       	 11.067	 10.496	 10.205	 14.971	24.71	10.54	38.63	23.84	-1.28	  0.27	M	Simbad	072.491552	+27.210213
571	  87.69	 -26.16	 11.642	 10.726	  8.485	  7.968	  7.839	 10.184	21.30	 4.26	40.57	20.35	 0.74	  0.76	M	Simbad	072.502976	+16.412063
572	  84.89	 -43.73	       	       	 10.281	  9.628	  9.387	 13.782	21.10	 5.41	40.00	21.45	-0.37	  0.46	M	Simbad	072.569473	+20.625824
573	  98.74	 -30.46	  7.682	  7.098	  6.002	  5.725	  5.666	       	23.88	 6.03	40.51	20.48	 1.11	  1.26	M	Simbad	072.599700	+17.202663
574	  85.54	 -21.77	  8.453	  7.712	  6.439	  6.133	  6.044	       	20.93	 4.79	40.75	19.98	 0.69	  1.19	M	Simbad	072.640895	+15.083450
575	  82.53	 -42.82	       	       	 12.181	 11.574	 11.293	 16.296	20.96	 5.03	40.24	20.99	-1.21	  0.18	M	Simbad	072.678736	+19.304236
576	  82.19	 -26.65	  7.797	  7.266	  6.321	  6.146	  6.061	       	20.30	 5.37	40.66	20.18	 0.18	  1.30	M	Simbad	072.702263	+16.210450
577	  87.07	  26.71	       	       	 11.858	 11.185	 10.953	 15.584	21.76	14.24	40.83	19.83	 0.53	  0.21	M	Simbad	072.747815	-00.139656
578	  95.34	 -21.21	       	       	  8.796	  8.145	  7.967	 11.112	23.24	 5.55	40.80	19.88	 1.24	  0.67	M	Simbad	072.760119	+14.971309
579	  87.44	  -9.42	  7.322	  6.753	  5.710	  5.523	  5.436	       	21.63	 6.38	41.10	19.26	 0.67	  1.40	M	Simbad	072.802223	+11.068024
580	  93.26	  -9.56	       	       	 12.082	 11.488	 11.190	 15.918	23.24	 8.58	41.19	19.08	-1.28	  0.17	M	Simbad	072.807787	+08.200746
581	  78.72	 -34.27	  5.323	  5.085	  4.972	  4.566	  4.492	       	19.61	 6.82	40.36	20.76	-0.02	  2.04	M	Simbad	072.843591	+18.839857
582	  68.04	 -17.08	  8.439	  7.893	  6.930	  6.686	  6.671	       	16.67	14.60	40.79	19.92	 1.05	  1.26	M	Simbad	072.846735	+15.433467
583	  55.53	 -17.69	 13.034	 11.106	  8.960	  8.424	  8.288	 10.667	14.03	25.66	40.91	19.66	-0.97	  0.88	M	Simbad	072.889912	+14.286373
584	  73.44	 -24.77	       	       	  9.015	  8.431	  8.279	 10.912	18.11	10.17	40.61	20.27	 0.74	  0.73	M	Simbad	072.954948	+17.273721
585	 106.80	 -17.48	  6.781	  6.262	  5.235	  5.030	  4.941	       	26.22	 9.46	40.98	19.51	 1.48	  1.41	M	Simbad	072.958285	+13.655152
586	  90.96	  -3.84	       	       	 11.965	 11.343	 11.079	 16.241	22.71	 7.74	41.22	18.99	 0.66	  0.19	M	Simbad	072.988535	+09.281442
587	  76.05	 -31.76	 11.351	 10.280	  8.375	  7.885	  7.742	  9.689	18.92	 8.41	40.42	20.65	 0.49	  0.85	M	Simbad	073.098040	+18.996916
588	  67.54	  -7.03	       	       	  9.633	  8.973	  8.772	 12.327	16.92	14.88	41.21	19.02	 0.54	  0.65	M	Simbad	073.099419	+10.719416
589	  97.14	-138.11	       	       	 12.833	 12.197	 11.855	 17.440	24.44	24.17	31.43	32.74	 0.03	  0.12	M	Simbad	073.163522	+47.697840
590	  76.45	 -43.38	 12.513	 11.402	  9.073	  8.462	  8.293	 11.000	19.15	 9.20	39.83	21.76	 0.28	  0.70	M	Simbad	073.198172	+22.647259
591	  54.84	 -21.04	 11.224	 10.426	  8.519	  8.187	  8.090	  9.936	14.42	24.04	41.17	19.11	-2.72	  0.92	M	Simbad	073.412548	+13.138734
592	  91.36	  -3.29	       	       	 11.308	 10.742	 10.445	 15.345	23.23	 8.23	41.39	18.64	 0.81	  0.25	M	Simbad	073.487501	+09.266333
593	 110.09	  89.34	 10.570	  9.470	  7.607	  7.097	  6.956	  9.053	29.27	23.54	39.17	22.93	 1.09	  0.81	M	Simbad	073.633081	-11.914032
594	  75.75	  -8.76	       	       	 11.541	 11.026	 10.720	 15.583	19.51	 9.60	41.44	18.52	-0.54	  0.27	M	Simbad	073.657460	+09.409081
595	  88.12	 -41.30	       	       	 10.163	  9.491	  9.277	 13.374	22.51	 5.79	40.50	20.50	 0.28	  0.46	M	Simbad	073.683791	+19.680899
596	  62.88	 -28.76	  6.658	  6.353	  5.736	  5.658	  5.623	       	16.06	17.18	40.55	20.40	 0.37	  1.72	M	Simbad	073.743173	+19.485387
597	  61.07	 -41.05	       	       	 12.169	 11.552	 11.263	 16.007	16.57	15.77	40.26	20.97	-1.81	  0.24	M	Simbad	073.811882	+21.364020
598	  75.68	 -43.84	       	       	 12.896	 12.332	 12.028	 17.322	17.65	15.19	38.98	23.26	 3.34	  0.15	M	Simbad	073.927471	+27.477342
599	  73.25	 -34.67	       	       	 11.777	 11.136	 10.892	 15.763	18.39	10.61	40.32	20.85	 1.31	  0.26	M	Simbad	073.944435	+21.247301
600	  74.35	 -50.22	       	       	 10.934	 10.355	 10.092	 14.486	19.35	10.05	39.71	21.98	-0.05	  0.37	M	Simbad	073.954436	+24.362720
601	  66.37	 -38.71	       	       	 12.877	 12.282	 11.994	 17.529	17.32	13.67	40.22	21.03	-0.05	  0.16	M	Simbad	074.025535	+21.897986
602	  75.38	 -39.27	       	       	 11.138	 10.504	 10.247	 14.780	19.34	 8.73	40.33	20.82	 0.64	  0.35	M	Simbad	074.069548	+21.367193
603	  75.26	 -11.29	       	       	 13.123	 12.536	 12.240	 17.501	19.03	 8.79	41.30	18.82	 2.28	  0.13	M	Simbad	074.095843	+14.101188
604	  67.15	 -23.20	 12.163	 10.865	  8.762	  8.266	  8.119	 10.458	17.99	11.36	41.37	18.68	-1.28	  0.78	M	Simbad	074.252818	+13.912351
605	  56.84	 -38.22	       	       	 12.205	 11.630	 11.331	 16.351	15.61	19.45	40.36	20.76	-1.42	  0.25	M	Simbad	074.327014	+21.602344
606	  68.46	 -22.06	       	       	 11.920	 11.340	 11.081	 15.869	18.31	10.60	41.40	18.61	-0.83	  0.24	M	Simbad	074.364817	+13.945213
607	  60.04	 -19.48	       	       	 11.438	 10.848	 10.589	 15.274	15.63	18.85	41.17	19.12	 0.89	  0.37	M	Simbad	074.443532	+16.472305
608	  70.50	 -17.95	  9.622	  8.892	  7.569	  7.268	  7.235	       	18.58	 9.99	41.42	18.56	 0.40	  1.02	M	Simbad	074.456275	+14.002190
609	  69.47	 -26.11	       	       	 11.304	 10.707	 10.459	 15.304	18.84	 9.33	41.39	18.62	-1.33	  0.32	M	Simbad	074.490792	+14.451987
610	  60.64	-101.41	  7.737	  7.216	  6.168	  5.913	  5.862	       	19.27	21.31	35.06	28.83	-3.68	  1.34	M	Simbad	074.554148	+40.056869
611	  67.90	  20.14	       	       	 12.056	 11.440	 11.166	 16.565	17.40	21.74	41.12	19.21	-1.85	  0.24	M	Simbad	074.557081	-02.774111
612	  73.67	 -39.77	       	       	 12.677	 12.113	 11.815	 16.974	19.99	 7.35	40.82	19.84	-0.71	  0.15	M	Simbad	074.592708	+19.317143
613	  76.30	  48.58	  7.483	  6.969	  5.982	  5.709	  5.627	       	21.81	17.40	41.01	19.45	 2.92	  1.34	M	Simbad	074.609162	-03.732886
614	  69.99	 -26.31	       	       	 11.980	 11.320	 11.084	 16.228	18.74	 9.44	41.26	18.92	-0.08	  0.23	M	Simbad	074.659007	+16.222433
615	  84.83	 -15.92	       	       	 11.838	 11.225	 10.948	 16.079	22.67	 7.16	41.65	18.05	 0.40	  0.20	M	Simbad	074.762999	+12.262504
616	  62.94	  -1.37	 12.007	 10.828	  8.559	  7.947	  7.793	 10.297	16.91	17.30	41.83	17.63	-0.91	  0.90	M	Simbad	074.821179	+06.430893
617	  74.71	  -4.02	       	       	 10.186	  9.528	  9.295	 13.286	19.90	 9.14	41.77	17.77	 1.42	  0.50	M	Simbad	074.832584	+10.386009
618	  85.86	 -29.77	  7.220	  6.747	  5.856	  5.694	  5.645	       	23.08	 6.62	41.38	18.66	 0.29	  1.36	M	Simbad	074.934677	+15.916732
619	  67.46	 -25.56	 10.424	  9.705	  8.297	  7.902	  7.829	  9.563	17.11	14.19	40.83	19.83	 2.50	  0.89	M	Simbad	074.956287	+19.966766
620	  75.47	  44.96	       	       	  9.759	  9.199	  8.906	 13.248	21.60	17.44	41.16	19.14	 2.29	  0.53	M	Simbad	074.994010	-03.553389
621	  83.51	 -33.35	       	       	 11.800	 11.211	 10.926	 16.020	22.90	 6.55	41.40	18.61	-0.55	  0.20	M	Simbad	075.013725	+15.914769
622	  69.17	   9.72	       	       	 11.236	 10.625	 10.367	 15.200	18.88	13.30	41.89	17.48	 1.50	  0.34	M	Simbad	075.049785	+05.855492
623	  73.43	  10.69	 10.655	  9.722	  8.113	  7.692	  7.589	  9.373	20.16	12.43	41.91	17.43	 0.76	  0.85	M	Simbad	075.203696	+04.733114
624	  78.58	 -45.02	       	       	 12.053	 11.420	 11.118	 16.558	22.21	 6.52	41.09	19.29	-1.25	  0.19	M	Simbad	075.230064	+18.807386
625	  51.18	 -19.78	       	       	 12.567	 12.000	 11.708	 16.653	14.08	25.91	41.46	18.47	-0.08	  0.23	M	Simbad	075.316679	+16.144668
626	  64.71	 -50.40	 11.270	 10.287	  8.470	  7.984	  7.874	  9.883	16.33	20.52	38.71	23.71	 2.26	  0.90	M	Simbad	075.342376	+29.929888
627	  52.87	   5.55	       	       	 12.836	 12.265	 11.996	 17.258	14.50	25.50	42.00	17.21	 2.42	  0.19	M	Simbad	075.395734	+07.945218
628	  87.30	 -19.97	 12.577	 11.313	  8.754	  8.104	  7.918	 10.807	23.67	 7.70	41.71	17.90	 1.02	  0.68	M	Simbad	075.400154	+13.933006
629	  70.98	 -15.12	 12.737	 12.047	  8.720	  8.113	  7.869	 11.034	19.52	 9.16	41.83	17.62	 0.21	  0.80	M	Simbad	075.406939	+12.416389
630	  61.02	 -15.66	       	       	 12.766	 12.176	 11.876	 17.359	16.93	15.09	41.82	17.64	 0.41	  0.17	M	Simbad	075.701594	+13.632706
631	 115.59	 -38.34	       	       	 11.750	 11.171	 10.819	 16.592	30.93	15.07	41.41	18.58	 1.84	  0.15	M	Simbad	075.715176	+17.450710
632	  68.88	 -41.05	  4.797	  4.615	  4.333	  4.375	  4.245	       	19.06	10.22	40.78	19.94	 0.39	  2.27	M	Simbad	075.773947	+21.589962
633	  60.05	 -36.81	       	       	 12.662	 12.049	 11.754	 16.700	17.32	13.86	41.11	19.25	-1.03	  0.18	M	Simbad	075.776318	+19.678787
634	  81.25	 -31.05	       	       	  9.225	  8.575	  8.408	 11.139	21.54	 6.93	41.21	19.02	 2.09	  0.62	M	Simbad	075.779591	+19.017994
635	  66.48	 -17.88	  9.756	  9.007	  7.629	  7.303	  7.226	       	18.54	10.86	41.84	17.60	 0.30	  1.00	M	Simbad	075.781908	+13.730671
636	  77.77	  20.59	       	       	 12.279	 11.691	 11.423	 16.431	22.21	12.36	42.06	17.05	 2.02	  0.16	M	Simbad	075.829500	+03.840331
637	  67.92	 -33.41	       	       	 12.434	 11.858	 11.547	 16.712	19.21	 9.26	41.37	18.68	-0.19	  0.18	M	Simbad	075.886161	+18.147898
638	  50.28	 -24.94	       	       	 10.342	  9.704	  9.490	 12.990	14.48	24.21	41.51	18.35	-0.88	  0.59	M	Simbad	075.928854	+17.153731
639	  81.35	-119.71	       	       	 12.111	 11.493	 11.215	 16.315	25.79	17.26	36.84	26.51	-2.28	  0.15	M	Simbad	076.047051	+36.260124
640	  69.92	   3.68	 10.849	  9.880	  8.127	  7.631	  7.518	  9.574	20.16	11.90	42.30	16.46	 0.42	  0.87	M	Simbad	076.418241	+06.465176
641	  63.50	 -32.44	  9.552	  8.818	  7.514	  7.216	  7.128	       	18.62	10.82	41.60	18.15	-0.40	  1.03	M	Simbad	076.574952	+17.816413
642	  66.12	 -22.31	       	       	 11.756	 11.130	 10.839	 16.058	19.65	 9.59	42.16	16.82	-0.82	  0.25	M	Simbad	076.791852	+13.269786
643	  67.10	 -27.57	       	       	 10.416	  9.800	  9.524	 13.910	20.13	 8.73	42.06	17.05	-0.93	  0.46	M	Simbad	076.895663	+14.653926
644	  53.39	 -26.90	 12.574	 11.354	  9.276	  8.696	  8.565	 10.935	15.54	20.19	41.56	18.24	 0.40	  0.75	M	Simbad	076.897052	+18.692724
645	  48.47	 -39.77	       	       	  9.908	  9.234	  9.037	 12.181	15.28	21.72	41.04	19.38	-1.68	  0.64	M	Simbad	077.055567	+21.990246
646	  74.88	 -20.15	 10.089	  9.260	  7.640	  7.181	  7.084	  9.061	22.37	 8.49	42.31	16.43	 0.13	  0.93	M	Simbad	077.262668	+12.964184
647	  45.41	 -26.29	       	       	 10.797	 10.180	  9.943	 13.888	13.59	29.12	41.54	18.30	 0.08	  0.53	M	Simbad	077.315787	+19.572499
648	  65.43	  -7.69	  5.700	  5.421	  4.965	  4.929	  4.861	       	19.62	11.24	42.51	15.92	 0.22	  1.91	M	Simbad	077.331846	+09.829579
649	  54.60	  -5.89	       	       	 10.526	  9.929	  9.653	 14.424	16.51	18.70	42.57	15.74	-0.81	  0.51	M	Simbad	077.418304	+08.214036
650	  55.50	 -58.91	  6.296	  5.997	  5.545	  5.484	  5.427	       	17.50	17.10	39.76	21.90	-0.96	  1.77	M	Simbad	077.437883	+28.030465
651	  57.24	 -58.90	  9.307	  8.623	  7.366	  7.037	  6.953	       	17.77	16.49	39.76	21.90	-0.62	  1.09	M	Simbad	077.439470	+28.033623
652	  60.89	  61.48	       	       	 12.577	 11.986	 11.632	 17.164	18.51	29.44	39.61	22.16	 0.03	  0.18	M	Simbad	077.561699	-14.632704
653	  54.96	  -7.05	 12.783	 11.649	  9.492	  8.847	  8.683	 11.178	16.63	17.66	42.55	15.79	 0.53	  0.68	M	Simbad	077.601829	+10.417999
654	  45.42	  19.69	       	       	 11.181	 10.642	 10.326	 14.803	14.38	29.65	42.41	16.17	 2.22	  0.44	M	Simbad	077.616391	+01.152221
655	  55.99	  19.28	       	       	 12.891	 12.297	 11.989	 17.118	15.84	27.37	41.87	17.53	-2.58	  0.17	M	Simbad	077.626464	-03.880104
656	  63.75	 -26.65	       	       	 10.800	 10.155	  9.923	 14.788	20.17	 9.64	42.42	16.14	-1.79	  0.39	M	Simbad	077.735618	+13.122021
657	  45.31	 -24.26	       	       	 11.497	 10.895	 10.620	 15.384	14.07	26.79	41.96	17.32	-0.39	  0.40	M	Simbad	077.787024	+17.574066
658	  57.94	 -24.53	       	       	  8.974	  8.277	  8.102	 11.442	17.79	13.48	42.18	16.77	 0.00	  0.79	M	Simbad	077.790447	+15.815943
659	  57.60	 -75.07	       	       	 13.045	 12.424	 12.122	 17.541	16.07	28.15	35.84	27.85	 1.89	  0.16	M	Simbad	077.824642	+39.907986
660	  44.85	   6.82	 11.400	 10.457	  8.822	  8.415	  8.245	 10.180	13.97	29.54	42.72	15.33	 1.36	  0.89	M	Simbad	077.981142	+05.716073
661	  50.30	   5.49	       	       	 12.001	 11.406	 11.108	 15.904	15.68	22.85	42.74	15.29	 0.45	  0.28	M	Simbad	078.066662	+05.369659
662	  64.92	 -38.55	       	       	  9.470	  8.954	  8.597	 12.237	20.55	 9.09	41.92	17.41	-0.50	  0.61	M	Simbad	078.100345	+18.402400
663	  67.32	 -69.42	       	       	 10.880	 10.257	 10.035	 14.256	20.77	13.56	39.67	22.06	 0.63	  0.35	M	Simbad	078.529510	+29.277221
664	  56.86	 -38.20	       	       	 11.312	 10.773	 10.498	 15.272	18.11	13.50	41.70	17.93	 0.07	  0.33	M	Simbad	078.598514	+20.531555
665	  51.51	 -56.76	       	       	 12.242	 11.587	 11.353	 16.208	16.55	20.74	39.73	21.95	 0.09	  0.23	M	Simbad	078.807910	+29.288987
666	  53.15	  -6.94	       	       	 11.590	 11.023	 10.720	 15.851	16.93	17.22	42.85	14.96	 1.12	  0.32	M	Simbad	078.859004	+11.018876
667	  54.26	 -30.33	       	       	 12.629	 12.050	 11.757	 17.045	17.76	14.15	42.25	16.59	-0.33	  0.17	M	Simbad	078.877929	+17.431696
668	  76.41	  84.95	  9.190	  8.327	  6.820	  6.400	  6.280	       	26.53	24.17	40.56	20.37	 1.34	  1.06	M	Simbad	078.946747	-12.365349
669	  51.09	 -12.59	       	       	 11.351	 10.692	 10.467	 14.946	16.96	17.77	42.97	14.62	-1.66	  0.36	M	Simbad	079.066009	+09.446609
670	  68.69	  29.60	       	       	 11.595	 10.973	 10.687	 15.679	22.84	16.54	42.66	15.51	 0.59	  0.23	M	Simbad	079.106379	-00.521602
671	  61.76	  57.66	       	       	 11.071	 10.499	 10.171	 15.087	21.00	23.63	41.19	19.06	 0.78	  0.33	M	Simbad	079.125774	-09.830689
672	  87.99	  76.47	       	       	 12.808	 12.264	 11.934	 17.237	24.53	26.86	39.56	22.25	-3.52	  0.12	M	Simbad	079.318504	-16.361919
673	  53.05	  -9.49	       	       	  9.699	  9.028	  8.853	 12.005	17.30	16.31	42.93	14.73	 1.07	  0.63	M	Simbad	079.367010	+11.790765
674	  38.25	 -52.54	       	       	 10.765	 10.149	  9.911	 13.691	14.88	25.76	40.48	20.53	-2.67	  0.50	M	Simbad	079.563895	+27.141162
675	  66.16	  42.29	       	       	  9.952	  9.307	  9.075	 12.967	23.12	19.29	42.44	16.10	 0.35	  0.48	M	Simbad	080.066654	-04.239435
676	  50.06	 -14.22	  9.748	  8.990	  7.696	  7.397	  7.302	       	17.41	16.51	43.12	14.17	-0.34	  1.03	M	Simbad	080.105925	+11.609816
677	  47.25	  -5.32	 12.483	 11.328	  8.983	  8.370	  8.226	 10.848	16.45	19.83	43.28	13.69	 0.54	  0.80	M	Simbad	080.354530	+09.636466
678	  62.17	 -66.48	       	       	 13.178	 12.599	 12.300	 17.451	20.71	14.13	40.34	20.81	 1.07	  0.12	M	Simbad	080.509687	+28.421196
679	  76.47	 -84.84	       	       	  9.406	  8.786	  8.526	 12.773	24.62	15.06	39.74	21.92	 1.72	  0.56	M	Simbad	080.585633	+30.519337
680	  61.24	  24.95	       	       	  9.445	  8.784	  8.600	 12.023	21.26	18.50	42.94	14.71	-1.02	  0.60	M	Simbad	080.793510	-01.697765
681	  46.11	 -20.40	       	       	 11.798	 11.226	 10.965	 15.421	15.25	23.16	42.67	15.48	 2.49	  0.31	M	Simbad	081.091851	+18.055144
682	  40.66	 -21.77	       	       	 11.669	 11.046	 10.821	 15.112	14.08	28.10	42.67	15.47	 1.31	  0.37	M	Simbad	081.093470	+18.052545
683	  65.90	 -92.82	       	       	 11.010	 10.357	 10.102	 14.739	26.08	15.16	40.42	20.66	-1.21	  0.27	M	Simbad	081.163022	+28.611563
684	  40.80	  -4.46	       	       	  9.868	  9.290	  9.112	 11.676	15.05	25.74	43.52	12.88	-1.05	  0.64	M	Simbad	081.227621	+07.339805
685	  43.02	  24.50	       	       	 11.645	 11.084	 10.743	 15.743	16.12	26.92	42.99	14.55	 0.38	  0.33	M	Simbad	081.284382	-02.203010
686	  39.51	 -40.47	       	       	  9.781	  9.122	  8.913	 12.314	16.02	20.86	42.22	16.65	-1.68	  0.65	M	Simbad	081.362511	+21.068830
687	  54.02	  22.22	       	       	 11.716	 11.139	 10.898	 15.749	20.51	17.92	43.34	13.50	 0.38	  0.23	M	Simbad	081.565457	+00.562909
688	  38.96	  -5.06	  9.087	  8.521	  7.418	  7.177	  7.086	       	14.23	28.29	43.50	12.94	 1.95	  1.20	M	Simbad	081.796107	+11.525832
689	  55.67	  25.21	       	       	 11.231	 10.635	 10.399	 14.887	22.60	16.63	43.57	12.72	 1.57	  0.27	M	Simbad	082.198086	+01.868773
690	  41.06	 -16.52	       	       	 12.561	 11.968	 11.690	 16.432	16.56	20.04	43.60	12.63	-0.94	  0.19	M	Simbad	082.339057	+11.858611
691	  32.42	 -77.83	       	       	  7.978	  7.527	  7.420	  9.343	17.58	21.67	39.45	22.45	-3.60	  0.99	M	Simbad	082.642349	+32.655946
692	  47.89	  15.12	       	       	 12.024	 11.420	 11.100	 16.107	19.56	18.98	43.73	12.17	-0.31	  0.22	M	Simbad	083.036906	+01.640065
693	  36.57	  13.22	  7.955	  7.467	  6.611	  6.485	  6.370	       	15.48	27.12	43.81	11.87	 0.89	  1.40	M	Simbad	083.126981	+02.648397
694	  39.57	  15.16	       	       	  9.493	  8.855	  8.702	 11.480	15.65	28.37	43.56	12.76	-1.37	  0.71	M	Simbad	083.226578	-00.789489
695	  33.84	  -0.95	       	       	 11.591	 10.978	 10.728	 14.726	14.31	29.50	44.00	11.15	 1.19	  0.38	M	Simbad	083.634047	+08.734713
696	  33.93	  11.19	       	       	 11.612	 11.032	 10.773	 15.230	15.48	27.17	44.07	10.88	 1.14	  0.34	M	Simbad	084.179882	+03.774814
697	  42.22	 -33.69	  5.775	  5.525	  5.062	  5.002	  4.935	       	19.43	14.86	43.43	13.17	-0.44	  1.87	M	Simbad	084.265564	+17.040327
698	  43.17	  61.21	       	       	 11.397	 10.798	 10.518	 15.193	21.64	25.28	42.33	16.37	 1.16	  0.27	M	Simbad	084.539883	-09.897279
699	  32.12	 -81.84	       	       	 10.837	 10.248	  9.970	 14.077	17.59	24.11	38.75	23.63	-1.86	  0.43	M	Simbad	084.574670	+35.502581
700	  32.00	 -64.38	 11.628	 10.588	  8.731	  8.233	  8.135	 10.192	15.45	28.27	39.67	22.05	-0.58	  0.86	M	Simbad	084.575147	+32.924491
701	  48.77	  10.48	       	       	 12.606	 12.047	 11.757	 16.842	21.68	17.94	44.07	10.85	-1.13	  0.14	M	Simbad	084.599422	+02.402210
702	  42.17	   6.49	       	       	 11.110	 10.507	 10.213	 14.684	19.98	17.77	44.25	10.11	 0.51	  0.34	M	Simbad	084.933350	+05.425053
703	  32.62	 -14.95	       	       	 12.513	 11.895	 11.622	 17.098	15.31	25.48	44.01	11.10	 0.53	  0.22	M	Simbad	085.188866	+13.356733
704	  54.25	 -72.06	       	       	 12.014	 11.389	 11.127	 16.037	24.73	15.52	41.97	17.27	 0.76	  0.17	M	Simbad	085.303313	+25.486947
705	  42.38	 -97.08	       	       	 12.506	 11.931	 11.632	 16.801	21.75	19.65	39.08	23.08	-0.41	  0.15	M	Simbad	085.521667	+34.978025
706	  32.38	 -20.95	       	       	  9.910	  9.294	  9.132	 12.032	15.53	24.70	43.84	11.76	 0.53	  0.62	M	Simbad	085.562066	+15.594024
707	  71.51	 103.32	       	       	 11.916	 11.372	 11.048	 16.247	34.92	27.66	42.06	17.06	-0.23	  0.12	M	Simbad	085.637476	-11.859614
708	  37.96	 -10.13	       	       	  9.789	  9.106	  8.932	 12.233	19.59	17.44	44.39	 9.48	-0.76	  0.57	M	Simbad	085.889440	+08.929727
709	  57.80	-102.47	       	       	 12.141	 11.501	 11.191	 17.364	34.92	21.37	42.53	15.87	-1.80	  0.12	M	Simbad	085.914002	+23.550682
710	  26.16	   5.75	 11.453	 10.675	  8.873	  8.457	  8.277	 10.310	15.83	27.19	44.69	 7.91	 1.31	  0.81	M	Simbad	087.725382	+06.156721
711	  26.76	 -31.69	       	       	 11.850	 11.230	 10.952	 15.779	18.68	18.70	44.18	10.41	-1.54	  0.25	M	Simbad	087.848083	+15.551154
712	  23.75	 -60.74	  9.907	  9.059	  7.705	  7.350	  7.262	       	16.18	26.59	41.17	19.10	-0.63	  1.05	M	Simbad	088.197496	+29.770208
