#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
P	Stock 2          	02 14 43	+59 29 06	  	  60.0	  303	 0.380	 8.230	  17.29	 -13.10	   54	K14	 -41.14	  2	-0.140	 2	        	WEBDA	Lynga
P	NGC 869          	02 19 00	+57 07 42	v 	  18.0	 2079	 0.575	 7.069	  -0.92	  -1.66	    4	K14	 -42.84	  9	-0.300	  	        	WEBDA	Lynga
P	Basel 10         	02 19 28	+58 18 00	  	   2.0	 1944	 0.774	 7.608	   1.47	   0.35	   13	K14	 -32.10	  1	      	  	        	WEBDA	Lynga
 	Berkeley 63      	02 19 36	+63 43 00	  	  16.0	 5700	 0.960	 7.480	  -0.06	   2.83	  325	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	FSR 0578         	02 20 10	+61 06 31	IR	   1.4	 2668	 1.457	 8.985	   2.22	  -2.11	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 17           	02 20 48	+59 11 06	  	   2.0	 3800	 0.980	 8.900	   0.03	  -0.32	    4	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 8           	02 20 49	+59 36 36	  	  36.0	 2200	 0.550	 6.760	   0.56	  -0.43	 1411	K14	 -17.40	  3	      	  	        	WEBDA	Lynga
P	Berkeley 64      	02 21 06	+65 54 00	  	   2.0	 3981	 1.050	 9.000	  -2.20	   2.38	    4	K14	       	   	-0.610	  	        	WEBDA	Lynga
P	NGC 884          	02 22 23	+57 07 33	v 	  18.2	 2940	 0.560	 7.100	  -2.29	  -0.63	  777	K14	 -42.64	  5	-0.300	  	        	WEBDA	Lynga
 	Stock 6          	02 23 42	+63 52 00	d 	  14.0	 1700	 0.400	 8.480	   0.57	   3.05	  308	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	FSR 0584         	02 27 11	+61 37 40	IR	   2.0	 2009	 1.041	 9.100	   1.19	   0.55	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0591         	02 27 44	+58 45 32	IR	   4.0	 2200	 1.249	 8.950	   0.57	   0.35	   52	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 29       	02 28 07	+72 37 35	IR	  11.0	     	      	      	  -0.97	   2.94	   59	K14	       	   	      	  	        	WEBDA	Lynga
 	Tombaugh 4       	02 28 54	+61 47 00	  	   7.0	 3850	 1.250	 8.700	   2.05	  -5.23	  101	K14	       	   	      	  	2-1-m-n 	WEBDA	Lynga
 	Teutsch 55       	02 29 00	+62 05 39	  	   8.0	 6020	 0.820	 6.700	  -1.25	   0.47	   84	K14	       	   	      	  	        	WEBDA	Lynga
 	Markarian 6      	02 29 40	+60 42 24	  	   6.0	  698	 0.606	 7.214	  -3.33	   0.24	    2	K14	  -7.18	  3	      	  	        	WEBDA	Lynga
 	FSR 0596         	02 29 52	+58 06 37	IR	   3.7	 1417	 0.521	 9.150	  -1.49	   2.97	    6	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 956          	02 32 15	+44 38 48	d 	   9.0	 2613	 0.354	 9.100	  -0.86	  -0.14	   64	K14	       	   	      	  	-2-m-*  	WEBDA	Lynga
P	IC 1805          	02 32 42	+61 27 00	  	  20.0	 2344	 0.870	 6.480	  -2.10	  -1.57	   15	K14	 -45.00	  6	      	  	        	WEBDA	Lynga
P	Czernik 8        	02 33 00	+58 44 00	  	   2.0	 1409	 0.803	 7.904	   4.92	   0.70	   10	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 957          	02 33 21	+57 33 36	  	  10.0	 2200	 0.710	 7.000	  -1.33	  -0.14	  175	K14	 -34.34	  2	      	  	        	WEBDA	Lynga
 	Czernik 9        	02 33 32	+59 53 12	  	   3.2	 1660	 1.050	 8.800	  -1.40	   0.28	   36	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Czernik 10       	02 33 54	+60 10 00	d 	   2.2	 1575	 1.710	 8.300	  -4.33	  -2.86	   11	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	SAI 21           	02 34 45	+62 34 22	  	   3.0	 1860	 0.580	 8.500	  -2.95	  -1.76	   24	K14	       	   	      	  	        	WEBDA	Lynga
P	King 4           	02 35 42	+59 00 00	  	   5.0	 3172	 0.863	 7.605	   0.52	   2.44	   67	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 11       	02 36 35	+59 38 00	  	   3.0	 1210	 1.000	 8.540	  -0.08	  -0.53	   36	K14	       	   	      	  	4-2-p-n 	WEBDA	Lynga
P	Trumpler 2       	02 36 53	+55 54 54	  	  17.0	  725	 0.400	 7.950	   0.11	  -3.49	  346	K14	   2.40	   	      	  	        	WEBDA	Lynga
 	FSR 0611         	02 37 38	+56 24 54	IR	   5.5	 1000	 0.500	 8.750	  -0.91	  -2.28	   59	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 65      	02 39 00	+60 25 00	  	   5.0	 2274	 1.121	 6.995	  -1.47	  -2.65	   44	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 12       	02 39 12	+54 55 00	  	   6.0	 2000	 0.260	 9.100	  -0.75	  -1.66	   73	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
P	NGC 1039         	02 42 05	+42 45 42	  	  35.0	  499	 0.070	 8.249	  -0.28	  -6.91	  106	K14	 -16.80	  1	 0.070	 4	        	WEBDA	Lynga
 	FSR 0614         	02 42 34	+56 44 00	IR	   2.8	 2434	 0.833	 8.800	   0.19	  -2.81	   10	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1027         	02 42 43	+61 38 01	  	   6.2	 1030	 0.410	 8.400	  -2.46	   0.95	   94	K14	  15.63	  1	      	  	        	WEBDA	Lynga
 	Majaess 30       	02 44 36	+60 59 42	IR	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
P	Czernik 13       	02 44 42	+62 21 00	  	   4.0	 3961	 0.755	 6.854	  -1.05	  -2.21	   61	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 9           	02 46 55	+57 43 48	  	  20.4	 2900	 0.900	 6.790	  -0.93	  -0.33	  394	K14	 -40.73	  2	      	  	        	WEBDA	Lynga
 	Teutsch 162      	02 47 40	+61 58 30	  	   9.0	 2050	 0.510	 7.000	  -0.65	  -1.98	  141	K14	       	   	      	  	        	WEBDA	Lynga
P	IC 1848          	02 51 12	+60 26 00	  	  18.0	 2200	 0.660	 6.700	  -5.15	   0.35	    3	K14	 -33.76	  4	      	  	        	WEBDA	Lynga
 	Collinder 34     	02 59 23	+60 34 00	d 	  25.0	     	      	      	   0.40	   0.44	  765	K14	 -40.00	  1	      	  	1-3-p-n 	WEBDA	Lynga
 	SAI 24           	02 59 25	+60 33 58	  	   6.0	 1000	 0.500	 7.200	  -0.99	   1.17	   86	K14	 -40.00	  1	      	  	        	WEBDA	Lynga
 	SAI 25           	03 00 27	+57 16 02	  	   7.0	 2290	 0.840	 9.150	  -2.19	   2.82	   45	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 66      	03 04 18	+58 46 00	  	   4.0	 5000	 1.280	 9.600	  -0.63	   2.60	   37	K14	 -50.60	  2	-0.480	 2	        	WEBDA	Lynga
P	NGC 1193         	03 05 56	+44 23 00	  	   3.0	 4571	 0.190	 9.700	   1.05	  -4.96	   26	K14	 -82.00	  4	-0.293	 4	        	WEBDA	Lynga
P	NGC 1252         	03 10 49	-57 46 00	cr	   8.0	  790	 0.000	 9.450	   7.68	   3.61	   19	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1220         	03 11 40	+53 20 42	  	   4.0	 1800	 0.700	 7.778	  -0.13	  -0.50	   30	K14	       	   	      	  	1-1-p-* 	WEBDA	Lynga
 	Trumpler 3       	03 11 48	+63 15 00	  	  12.0	  460	 0.190	 8.300	  -2.88	  -0.70	   98	K14	  -8.58	  2	      	  	3-2-m-* 	WEBDA	Lynga
P	NGC 1245         	03 14 42	+47 14 12	  	  32.0	 2818	 0.240	 9.030	   1.83	  -1.92	 1684	K14	 -29.70	 16	-0.040	13	        	WEBDA	Lynga
P	King 5           	03 14 45	+52 41 12	  	  14.2	 1740	 0.700	 9.100	  -0.17	  -3.31	  237	K14	 -52.00	 19	-0.300	19	        	WEBDA	Lynga
 	Stock 23         	03 16 11	+60 06 56	  	  29.0	  380	 0.260	 7.510	   0.41	  -1.33	  396	K14	  -8.53	  4	      	  	2-3-p-n 	WEBDA	Lynga
 	Czernik 14       	03 16 54	+58 36 00	  	   2.0	 2175	 1.710	 8.400	   0.33	  -2.46	    3	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Alessi 13        	03 21 42	-36 18 00	  	 200.0	  100	      	      	  36.39	  -4.74	   12	K14	  19.53	  3	 0.170	  	        	WEBDA	Lynga
 	Czernik 15       	03 23 12	+52 15 00	  	   2.4	 1155	 1.000	 7.300	   1.42	  -0.01	    3	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	FSR 0628         	03 23 12	+60 33 46	IR	   5.4	 5001	 1.049	 9.250	  -1.55	  -1.34	   33	K14	       	   	      	  	        	WEBDA	Lynga
 	Melotte 20       	03 24 19	+49 51 42	  	 300.0	  185	 0.090	 7.854	  22.41	 -25.87	   60	K14	  -1.39	 23	 0.040	19	        	WEBDA	Lynga
 	Alessi Teutsch 9 	03 27 27	+34 57 12	  	  57.6	  700	 0.100	 8.650	  -3.08	  -1.01	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	King 6           	03 27 50	+56 23 59	  	   3.5	  871	 0.500	 8.400	   2.29	  -1.80	   28	K14	       	   	 0.460	  	2-2-m-* 	WEBDA	Lynga
 	Czernik 16       	03 30 48	+52 39 00	  	   5.0	 2580	 1.290	 8.300	   0.29	  -3.40	   33	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	NGC 1342         	03 31 38	+37 22 36	  	  15.0	  665	 0.319	 8.655	  -2.99	  -1.82	  146	K14	 -10.67	  3	-0.160	  	        	WEBDA	Lynga
 	ASCC 11          	03 32 17	+44 50 24	  	  42.0	  650	 0.150	 8.610	   1.26	  -4.75	   12	K14	  -3.24	  3	      	  	        	WEBDA	Lynga
 	Berkeley 9       	03 32 39	+52 39 14	  	   6.3	 1480	 0.790	 9.300	   1.07	  -0.57	   64	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	NGC 1348         	03 34 06	+51 24 30	  	   6.0	 1820	 1.020	 8.110	   0.59	  -0.45	   45	K14	       	   	 0.070	  	3-2-m-* 	WEBDA	Lynga
 	Berkeley 10      	03 39 32	+66 29 09	  	  10.0	 1700	 0.750	 9.060	  -2.11	  -0.50	  108	K14	       	   	-0.490	  	2-2-m-* 	WEBDA	Lynga
 	SAI 30           	03 40 22	+82 14 00	  	   3.0	 3100	 1.250	 8.000	   2.20	   0.97	   16	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0634         	03 40 24	+59 25 10	IR	   1.2	 2301	 1.149	 8.952	  26.81	 -20.15	    4	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi Teutsch 10	03 44 26	+29 40 00	  	  25.0	     	      	      	   4.85	  -3.35	  201	K14	  26.07	  1	      	  	        	WEBDA	Lynga
 	IC 348           	03 44 34	+32 09 48	  	   8.0	  385	 0.929	 7.641	   3.38	  -7.37	   33	K14	  18.10	  4	      	  	        	WEBDA	Lynga
 	Melotte 22       	03 47 00	+24 07 00	  	 120.0	  133	 0.030	 8.131	  19.88	 -45.00	   50	K14	   5.94	 49	-0.030	15	        	WEBDA	Lynga
 	Juchert 11       	03 47 18	+53 54 35	  	   5.0	 3000	 1.901	 8.900	  18.07	 -17.76	    6	K14	       	   	      	  	        	WEBDA	Lynga
 	Tombaugh 5       	03 47 48	+59 03 00	  	  14.0	 1750	 0.800	 8.300	  -0.72	  -1.75	  304	K14	  -5.80	  1	      	  	3-2-r-* 	WEBDA	Lynga
P	NGC 1444         	03 49 25	+52 39 30	  	   4.0	 1199	 0.712	 7.964	   2.34	  -1.95	    1	K14	   2.00	  2	      	  	        	WEBDA	Lynga
 	Majaess 36       	03 51 37	+51 31 00	IR	   4.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 17       	03 52 24	+61 57 00	  	   8.0	 7000	 0.720	 8.050	  -2.30	   1.81	   37	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Juchert 9        	03 55 21	+58 23 30	  	   3.0	 4400	 0.790	 7.600	  -0.35	   0.92	   28	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0654         	03 55 35	+54 01 14	IR	   3.1	 4000	 1.420	 8.508	   1.30	  -6.13	   16	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0655         	03 56 14	+53 51 54	IR	   1.4	 1742	 1.228	 8.720	   1.21	  -2.24	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 1520         	03 57 51	-76 47 42	  	   7.2	  775	 0.060	 9.300	   4.39	   3.83	   22	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0656         	03 58 53	+53 37 54	IR	   1.5	 1400	 0.949	 8.895	  -0.10	  -1.84	    9	K14	       	   	      	  	        	WEBDA	Lynga
P	King 7           	03 59 00	+51 48 00	  	   7.0	 2200	 1.250	 8.820	   0.83	  -1.36	   89	K14	       	   	-0.170	 1	        	WEBDA	Lynga
 	FSR 0647         	03 59 11	+57 13 37	IR	   2.5	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Alicante 1       	03 59 18	+57 14 14	  	   2.0	 3981	 0.670	 6.600	  -1.76	   1.36	    2	K14	 -32.40	  1	      	  	        	WEBDA	Lynga
 	NGC 1498         	04 00 18	-12 00 54	p 	   7.6	 1020	 0.040	 9.200	   2.07	  -7.54	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	Juchert 19       	04 02 20	+52 26 39	  	   2.0	 1340	 0.280	 9.300	  -4.65	  -3.83	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0660         	04 02 38	+51 55 56	IR	   2.6	 5126	 0.625	 9.220	  -4.81	   0.71	    7	K14	       	   	-0.490	 1	        	WEBDA	Lynga
 	Majaess 41       	04 03 19	+51 17 58	IR	  25.0	     	      	      	   0.19	   0.05	  345	K14	 -24.20	  1	      	  	        	WEBDA	Lynga
 	Majaess 42       	04 03 48	+51 01 05	IR	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1496         	04 04 32	+52 39 42	  	   4.0	 1230	 0.450	 8.800	   0.48	   1.40	   52	K14	 -14.43	  1	      	  	        	WEBDA	Lynga
 	FSR 0665         	04 05 12	+51 31 20	IR	   4.3	     	      	      	   1.01	   1.52	   27	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 14       	04 06 43	+27 32 34	  	  19.0	 1670	 0.320	 9.100	   1.71	  -0.88	  131	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	FSR 0667         	04 07 09	+51 10 18	IR	   2.8	 1818	 0.937	 8.080	  -0.66	  -1.05	    2	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1502         	04 07 50	+62 19 54	v 	   8.0	 1000	 0.700	 7.000	  -0.55	  -0.91	  102	K14	  -9.70	  3	      	  	1-3-m-* 	WEBDA	Lynga
P	NGC 1513         	04 09 57	+49 30 54	  	  10.0	 1320	 0.670	 8.110	   1.11	  -4.66	  180	K14	 -15.13	  1	      	  	        	WEBDA	Lynga
 	Juchert 20       	04 10 47	+46 52 01	  	   5.0	 2420	 0.700	 8.550	  -0.09	  -0.92	   51	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0674         	04 12 21	+48 44 07	IR	   2.0	 3400	 1.020	 8.560	  -2.37	  -1.78	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 1557         	04 13 11	-70 28 18	p 	  26.0	 1055	 0.110	 9.480	   2.86	   5.71	  120	K14	   4.96	  2	      	  	        	WEBDA	Lynga
P	NGC 1528         	04 15 23	+51 12 54	  	  16.0	 1090	 0.260	 8.600	   0.90	  -1.08	  405	K14	 -16.90	  5	      	  	        	WEBDA	Lynga
 	SAI 36           	04 16 50	+41 04 00	  	   3.0	 3000	 0.550	 9.100	   0.86	  -3.77	   22	K14	       	   	      	  	        	WEBDA	Lynga
 	Waterloo 1       	04 18 36	+52 51 30	d 	   5.0	 4400	 0.910	 8.600	  -0.94	  -1.40	   41	K14	       	   	      	  	        	WEBDA	Lynga
 	IC 361           	04 19 00	+58 18 00	  	   6.0	 1070	 1.117	 7.718	   1.28	  -2.52	  139	K14	       	   	      	  	        	WEBDA	Lynga
 	Mayer 2          	04 19 45	+53 10 00	  	   3.0	 1589	 1.060	 7.400	  -1.41	  -5.88	   20	K14	       	   	      	  	3-1-p-n 	WEBDA	Lynga
P	Berkeley 11      	04 20 36	+44 55 00	  	   5.0	 2200	 0.950	 8.041	   0.87	  -2.71	   79	K14	       	   	 0.010	  	        	WEBDA	Lynga
P	NGC 1545         	04 20 57	+50 15 12	  	  18.0	  711	 0.303	 8.448	  -0.22	  -1.52	  377	K14	 -12.42	  3	-0.130	 3	        	WEBDA	Lynga
 	NGC 1548         	04 21 20	+36 55 00	nf	  30.0	 2501	 1.099	 9.020	   3.71	  -2.39	  377	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0671         	04 22 30	+51 50 40	IR	   0.6	 3501	 1.399	 7.900	  -1.20	   2.09	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0756         	04 24 13	+29 42 14	  	   4.2	 1800	 0.970	 8.480	   1.78	  -2.72	   23	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0662         	04 24 30	+54 58 01	IR	   3.6	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0686         	04 25 51	+46 05 53	IR	   1.3	 1638	 1.020	 8.610	  -1.64	  -5.37	   14	K14	       	   	      	  	        	WEBDA	Lynga
 	Melotte 25       	04 26 54	+15 52 00	  	 330.0	   45	 0.010	 8.896	       	       	     	K14	  39.29	 33	 0.130	55	        	WEBDA	Lynga
 	Czernik 18       	04 28 00	+30 56 00	  	   5.0	 1052	 0.270	 9.000	   0.10	  -3.72	   43	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	NGC 1582         	04 31 39	+43 44 36	d 	  24.0	 1100	 0.350	 8.470	   0.22	   0.13	  599	K14	   5.53	  3	      	  	4-2-p-* 	WEBDA	Lynga
 	NGC 1605         	04 34 53	+45 16 12	  	   6.0	 2559	 0.970	 7.610	  -1.97	  -2.04	   91	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 1641         	04 35 32	-65 45 00	p 	  11.0	  985	 0.104	 9.520	   6.48	   8.50	   37	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Berkeley 67      	04 38 06	+50 45 00	d 	  10.0	 2450	 0.790	 9.000	  -0.25	  -1.07	  101	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	FSR 0687         	04 39 29	+48 11 40	IR	   1.5	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1624         	04 40 36	+50 27 42	  	   3.0	 6000	 0.920	 6.600	  -0.78	  -0.54	  149	K14	       	   	      	  	2-1-p-n 	WEBDA	Lynga
 	Platais 3        	04 41 37	+71 14 12	  	 216.0	  200	 0.100	 8.700	   3.84	 -21.35	    3	K14	   7.00	  1	      	  	        	WEBDA	Lynga
 	FSR 0714         	04 42 46	+41 55 19	IR	   2.6	 1819	 0.625	 9.060	  -1.42	  -0.20	    7	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0719         	04 44 19	+41 48 51	IR	   2.6	 3500	 0.620	 8.945	  -3.32	   0.26	   11	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 68      	04 44 30	+42 04 00	  	  12.0	 1678	 0.671	 8.391	  -0.63	   0.05	  238	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 12      	04 44 36	+42 41 00	  	   4.0	 3162	 0.700	 9.600	  -0.78	   1.41	   40	K14	       	   	 0.070	  	2-1-m-* 	WEBDA	Lynga
 	FSR 0723         	04 44 57	+41 30 45	IR	   0.8	 3103	 0.750	 8.965	   0.13	  -0.17	    4	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0733         	04 45 08	+39 46 32	IR	   3.9	 1500	 0.500	 9.060	  -0.76	   0.12	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 50       	04 45 27	+41 58 33	IR	  17.0	     	      	      	  -1.06	  -0.21	  394	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1647         	04 45 55	+19 06 54	  	  40.0	  540	 0.370	 8.158	  -0.74	  -0.57	  656	K14	  -7.02	  2	      	  	        	WEBDA	Lynga
 	Alessi 2         	04 46 02	+55 12 24	  	  30.0	  501	 0.180	 8.500	   0.25	  -1.09	   23	K14	       	   	      	  	4-3-m-* 	WEBDA	Lynga
 	FSR 0717         	04 46 06	+42 08 03	IR	   2.1	 1700	 0.450	 9.050	  -3.13	  -1.48	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0721         	04 46 21	+41 57 07	IR	   5.6	 3662	 0.874	 8.800	  -0.96	  -0.15	   69	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 148     	04 46 30	+44 44 00	  	   4.0	 3028	 0.702	 7.724	  -1.88	   0.57	   48	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 1662         	04 48 27	+10 56 12	  	  20.0	  437	 0.304	 8.625	   0.79	  -2.17	  151	K14	 -13.35	  2	-0.095	 2	        	WEBDA	Lynga
 	NGC 1663         	04 48 58	+13 08 54	cr	  12.0	  700	 0.200	 9.300	   2.18	  -2.90	   45	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	ASCC 12          	04 49 55	+41 43 48	  	  30.0	  500	 0.150	 8.420	  -1.83	  -2.10	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 485 20       	04 50 04	-25 57 24	d 	   5.0	     	      	      	  -3.53	   3.21	    9	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	NGC 1664         	04 51 06	+43 40 30	  	   9.0	 1199	 0.254	 8.465	   1.96	  -5.10	    1	K14	   7.50	  2	      	  	        	WEBDA	Lynga
 	FSR 0702         	04 51 40	+45 45 53	IR	   0.4	 2501	 0.999	 8.900	  -2.75	  -4.91	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0735         	04 53 53	+40 51 42	IR	   6.0	 2500	 0.510	 8.700	  -0.13	  -1.66	  118	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 5        	04 55 43	+36 46 55	  	   3.2	 2325	 0.770	 9.350	  -0.90	  -1.72	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 13      	04 55 52	+52 48 00	  	   8.8	 2470	 0.660	 9.000	  -5.56	   3.25	   69	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	FSR 0699         	04 56 07	+47 23 04	IR	   1.0	     	      	      	  -1.55	   0.73	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 19       	04 57 09	+28 46 47	  	   8.0	 2500	 0.670	 7.400	   4.39	  -1.93	   98	K14	       	   	      	  	2-1-m-* 	WEBDA	Lynga
 	Skiff J0458+43.0 	04 58 14	+43 00 48	  	   5.0	 2125	 0.180	 8.950	  -0.01	  -0.78	   78	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0696         	04 58 35	+47 59 09	IR	   1.9	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 1785         	04 58 35	-68 50 40	  	   6.0	 3080	 0.060	 8.700	   3.43	  -1.78	  108	K14	   9.70	  1	      	  	        	WEBDA	Lynga
 	FSR 0744         	04 59 30	+38 00 42	IR	   1.6	 1250	 0.700	 8.850	  -3.07	  -8.08	   19	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 14      	05 00 12	+43 28 00	  	   5.0	 5500	 0.520	 9.200	  -0.78	  -0.45	   74	K14	  -4.82	  5	      	  	        	WEBDA	Lynga
 	FSR 0759         	05 01 10	+35 47 41	IR	   0.8	 3801	 0.999	 9.200	   6.24	  -4.10	    1	K14	       	   	      	  	        	WEBDA	Lynga
