TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
13416465,13416465.01,,,,,,,,,PC,,14.02,0.069,305.41041,40.653186,-3.208,0.039,-5.474,0.045,2458688.66547,0.11115,5.57761,0.05557,89.668086,,79269.0,,3.5,0.1,84.2,0.9,1.0,0.155,0.282,0.113,,,57.8,23.1,,,,,,,,,0.086,0.0006,,,,,,,,,1811.3,77.73,10489.0,131.0,3.8538300000000003,,3.22554,,2021-09-07 08:21:56,nardiello,,99696,"new CTOI likely member of NGC 6910, PATHOS-44 in Nardiello et al. (2021)"
13737885,13737885.01,3382.01,,,,,,,,PC,,11.5546,0.006999999999999999,133.755772,-9.1652,0.098,0.062,-6.9670000000000005,0.065,2458516.8579,0.0024,4.46605,0.00075,4.4323239999999995,,4074.0,,0.22,0.009000000000000001,85.61,1.22,0.47,0.1,0.063,0.008,6.16,0.28,14.86,2.64,,,,,,,0.22,0.06,,,,,,,,,,,713.283,19.7345,6329.0,118.73200000000001,3.8661,0.08791410000000001,2.15993,0.107136,2020-08-10 07:20:18,montalto,,29382,"new CTOI, Montalto et al. (2020)"
13866376,13866376.01,,,,,,,,,PC,,11.6154,0.036000000000000004,305.685789,40.501474,-3.457,0.043,-6.098,0.039,2458686.47603,0.0054,9.39725,0.00313,6.076466,,5581.0,,4.2,0.2,84.2,0.2,0.934,0.025,0.075,0.01,,,30.1,4.1,,,,,,,,,0.1575,0.0018,,,,,,,,,1680.59,76.775,9976.0,125.0,,,10.62,,2021-09-07 08:21:56,nardiello,,99697,"new CTOI likely member of NGC 6910, PATHOS-45 in Nardiello et al. (2021)"
13875852,13875852.01,,,,,,,,,PC,,13.9693,0.038,305.760367,40.981787,-3.022,0.040999999999999995,-5.3839999999999995,0.037000000000000005,2458684.09956,0.00513,8.32997,0.00144,72.826992,,64876.0,,3.9,0.1,85.7,0.7,0.977,0.155,0.255,0.115,,,50.9,22.9,,,,,,,,,0.111,0.0003,,,,,,,,,1636.2,65.16,7990.0,124.0,3.5711699999999995,,3.7689999999999997,,2021-09-07 08:21:56,nardiello,,99698,"new CTOI likely member of NGC 6910, PATHOS-46 in Nardiello et al. (2021)"
14173089,14173089.01,,,,,,,,,PC,,13.988,0.006,78.1284,-36.39802,0.763,0.028999999999999998,3.236,0.034,2458441.4714619997,,4.075562000000001,,4.034918,,3709.4,,3.1127,,,,0.002,,0.056839999999999995,,,,7.537470728458019,,,,,,,,,,,,,,,,,,,,1078.61,21.12,6111.0,123.0,4.39005,,1.13334,,2021-02-08 16:07:01,olmschenk,,93942,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
14440176,14440176.01,,,,,,,,,PC,,11.7702,0.006,132.428418,54.406213,-43.63399999999999,0.05,-7.465,0.04,2458842.92293,0.004872,6.8606105,0.0046125,1.882125,0.036373,1732.0,33.5,2.783,0.035,,,0.465,0.09,,,,,3.475,0.22,,,106.1,,818.0,,,,0.0672,,,,,,,,,,211.297,1.403,5106.61,124.31,4.51655,0.0846768,0.846258,0.051650800000000004,2021-10-31 16:06:04,spencer,,101288,From Sector 20 SPOC FFIs
14611330,14611330.01,,,,,,,,,PC,,8.57805,0.006,111.48263200000001,14.086301,-5.943,0.077,-19.614,0.066,2459220.1427,0.0167,,,1.384142,0.002117,1274.03,1.95,4.6,3.98,,,,,,,,,9.05,0.01,,,,,,,,,,,,,,,,,,,287.512,3.4139999999999997,8406.0,132.731,4.02604,0.071532,2.31875,0.072201,2021-03-11 01:29:05,steuer,,95052,Found with our in-house single transit finder
16271601,16271601.01,,,,,,,,,PC,,11.9189,0.006999999999999999,228.98821099999998,33.101502,-79.684,0.1,4.678,0.11900000000000001,2459714.213,0.002,,,144.97986699999998,5.442298,125000.0,5000.0,0.9,0.2,,,,,,,,,17.0,0.5,,,,,,,,,,,,,,,,,,,49.5468,0.19255,3318.0,157.0,4.78645,0.00576339,0.44446199999999997,0.0131585,2022-07-28 07:54:52,wzhou,,418101,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
16317477,16317477.01,,,,,,,,,PC,,13.0157,0.025,307.521202,41.038855,-3.9419999999999997,0.026000000000000002,-9.363,0.027999999999999997,2458686.2385056,0.00301538,3.0201199,0.00081437,20.097262,12.887876,18340.0,11800.0,1.995,0.254,,,0.59,0.305,0.14617,0.03868,11.05,2.83,21.18,6.82,,,,,,,,,,,,,,,,,,,751.6289999999999,9.049501,5863.0,122.0,4.17638,,1.39155,,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:B,NotCM?,2.8e+07yr. Wrn: mean(R)=1.130. Rp=(0.75-2.96)Rj. b=0.06-1.02 (3-97HDI)."
16326602,16326602.01,,,,,,,,,PC,,12.8855,0.01,116.04258600000001,12.35313,-118.8,2.0,-64.96,2.0,2458507.2485,0.0215,,,16.215132999999998,2.113955,14823.72,1945.13,3.73,1.51,,,,,,,,,3.84,0.24,,,,,,,,,,,,,,,,,,,69.69933,,3200.0,157.0,4.93848,0.00399292,0.288643,0.01024,2021-04-22 08:16:33,steuer,,96545,Found with our in-house single transit finder
17932757,17932757.01,5718.01,,,,,,,,PC,,10.8075,0.008,170.27386,41.576429,-31.724,0.057,-18.498,0.07,2458903.546,0.006999999999999999,,,1.521096,0.152014,1400.0,140.0,4.3,0.4,,,,,,,,,2.7,0.2,,,,,,,,,,,,,,,,,,,65.9721,0.23415,3922.0,157.0,4.59159,0.011958100000000001,0.6722560000000001,0.019799,2022-03-31 07:46:45,eisner,,113457,PHT candidate. Two transits in Sectors 22 and 48.
19026420,19026420.01,,,,,,,,,PC,,10.6742,0.006,119.603625,11.927282,-62.82899999999999,0.079,-35.03,0.054000000000000006,2458493.9554,0.025,,,1.841003,0.090283,1694.19,83.15,5.2,2.71,,,,,,,,,3.65,0.09,,,,,,,,,,,,,,,,,,,111.787,0.5385,4861.52,105.637,4.51802,0.0804965,0.811686,0.0475929,2021-04-22 08:16:33,steuer,,96546,Found with our in-house single transit finder
20299658,20299658.01,2536.01,,,,,,,,PC,,12.7022,0.006,90.963936,-39.546448,4.166,1.172,3.286,1.172,2458455.73617,0.006690000000000001,31.989,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.951,,,,,,,,2020-12-21 12:23:38,brahm,,92671,WINE warm jupiter candidate
20318757,20318757.03,,,,,,,,,PC,,10.2103,0.006,167.133275,-29.653135,-87.554,0.073,12.992,0.057,2458549.2239,0.0059,5.00924,0.00037999999999999997,1.111277,0.201966,1023.0,186.0,1.12,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3449,0.13245,4272.0,122.699,4.59877,0.108135,0.680275,0.0608191,2021-11-09 10:31:48,wilson,,101647,"new CTOI, 3rd planet in TOI-1027 system"
20579360,20579360.01,2532.01,,,,,,,,PC,,12.645999999999999,0.006999999999999999,201.167653,-19.896160000000002,-41.18600000000001,0.047,14.5,0.04,2458575.41965,0.0031,8.3574,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.49,3.9810000000000003,5560.0,130.95,4.54242,0.08202469999999999,0.877884,0.046301499999999995,2020-12-21 12:58:47,brahm,,92693,WINE warm/hot jupiter candidate
21279791,21279791.01,2582.01,,,,,,,,PC,,12.4848,0.006,277.291791,48.059938,10.728,2.0909999999999997,-5.479,2.092,2458685.6967490003,,3.018284,,7.899495,,7249.3,,3.2321,,,,0.763,,0.08586,,,,9.843933671118293,,,,,,,,,,,,,,,,,,,,348.135,,5238.0,,,,0.9300790000000001,,2021-02-08 16:07:01,olmschenk,,93943,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
22317640,22317640.01,,,,,,,,,PC,,11.2693,0.006,183.909327,-47.198142,0.71,0.054000000000000006,-2.449,0.036000000000000004,2458589.38,0.1,,,7.408223,0.32577,6800.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.989,2.44,5575.0,132.736,4.49667,0.0832705,0.9253620000000001,0.0501608,2020-12-21 12:50:49,brahm,,92688,WINE single transit
22391604,22391604.01,,,,,,,,,PC,,9.9728,0.006,184.209109,-45.17344,-32.681,0.06,4.921,0.042,2458570.45,,2.97,,6.506765000000001,,5975.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.59900000000002,2.176,6198.0,132.352,4.28677,0.0869406,1.29845,0.0602663,2021-05-19 09:51:34,chiarello,,97171,"Camera 2, CCD 3, Column 1281, Row 1609, Sector 10"
22642772,22642772.01,,,,,,,,,PC,,9.4913,0.006,108.399552,-36.969429,19.308,0.037000000000000005,-33.391999999999996,0.046,2459207.7091,0.0076,,,1.105364,0.005797999999999999,1017.56,5.34,2.67,1.35,,,,,,,,,3.46,0.01,,,,,,,,,,,,,,,,,,,104.53200000000001,0.2785,5646.0,127.49600000000001,4.44503,0.07667389999999999,0.9920100000000001,0.0484723,2021-02-15 04:50:07,steuer,,94384,Found with our in-house single transit finder
23138732,23138732.01,,,,,,,,,PC,,14.069,0.008,46.256506,-11.093404,142.851,0.13699999999999998,128.912,0.149,2458410.982001348,0.0378222405838642,4.557852606432128,0.02614370625915715,11.300353999999999,0.32609699999999997,10354.034546790162,300.30157790237024,0.9099907901526813,,,,0.6924628154531889,0.049386428506217855,0.10334498096971728,0.005211006572841209,25.17749495590096,0.8067712933937735,3.3721106528436136,0.1700333253867936,,,,,,,,,0.035015956027437435,0.0011220285490337932,,,,,,,,,83.2383,0.8724,3340.0,157.0,4.92665,0.00491055,0.299145,0.0094242,2021-04-06 14:57:13,feliz,,96007,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
24251313,24251313.01,,,,,,,,,PC,,11.8183,0.006999999999999999,15.716486999999999,-10.910645,17.4,0.07400000000000001,-6.396,0.054000000000000006,2458385.5394,0.0012,0.6401899999999999,5.9999999999999995e-05,5.002637,,4597.0,,0.055999999999999994,0.004,59.57,4.92,0.94,0.01,0.064,0.009000000000000001,1.84,0.34,9.72,1.77,,,,,,,0.29,0.14,,,,,,,,,,,448.959,6.968,5801.0,121.79299999999999,4.16858,0.0754658,1.39079,0.0668316,2020-08-10 07:20:18,montalto,,29389,"new CTOI, Montalto et al. (2020)"
24358417,24358417.01,2338.01,,,,,,,,PC,,11.7024,0.006,81.34458199999999,-34.668248999999996,38.0,0.032,18.022000000000002,0.036000000000000004,2458436.0922,0.001,22.65912,,11.298122,,10352.0,,0.156,0.004,87.38,0.23,0.97,0.01,0.07400000000000001,0.021,21.25,2.0,9.02,2.99,,,,,,,0.35,0.15,,,,,,,,,,,313.996,1.9680000000000002,5523.0,131.67600000000002,4.32874,0.0825504,1.117,0.060098,2020-08-10 07:20:18,montalto,,29452,"new CTOI, Montalto et al. (2020)"
24695044,24695044.01,2195.01,,,,,,,,PC,,10.9916,0.006,34.840097,-72.708894,-16.305999999999997,0.043,-55.68899999999999,0.036000000000000004,2458323.1635,0.0009,4.16451,2e-05,8.536961,,7832.0,,0.092,0.003,83.55,0.31,0.92,0.01,0.079,0.008,8.17,0.36,8.05,1.27,,,,,,,0.59,0.15,,,,,,,,,,,174.267,0.653,5296.0,125.124,4.456930000000001,0.0800897,0.933443,0.050814099999999994,2020-08-10 07:20:18,montalto,,29356,"new CTOI, Montalto et al. (2020)"
24725031,24725031.01,,,,,,,,,FP,,7.35422,0.006,81.51740799999999,-10.757758,-10.45,0.14,-1.949,0.122,2458438.44,0.001,0.53299,0.00015,4.133657,,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.08599999999998,3.859,12818.0,150.0,,,,,2019-09-13 13:41:57,earley,,5650,Eclipsing binary candidate in Pisces-Eridanus stellar stream
24795168,24795168.01,,,,,,,,,PC,,8.849860000000001,0.006,350.168842,48.764353,-42.24,0.049,-68.59100000000001,0.043,2458764.885,0.004,,,0.9406549999999999,0.20630900000000002,866.0,190.0,5.7,0.4,,,,,,,,,4.8,0.6,,,,,,,,,,,,,,,,,,,127.83,0.5105,5908.0,134.352,4.12309,0.08122280000000001,1.4893299999999998,0.07545980000000001,2021-03-29 01:30:52,eisner,,95728,PHT candidate. Single transit event. We caution that the event is close to a momentum dump.
25078924,25078924.01,,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.5091,,0.9097221999999999,,16.723865,,15285.2256555255,,1.5666666666666698,,,,,,,,,,14.434011815694001,,,,,,,,,,,,,,,,,,,,228.49200000000002,1.4215,5737.0,131.98,4.2756300000000005,0.0745082,1.21763,0.0589447,2019-08-02 00:39:26,lipponen,,5065,sector1
25078924,25078924.02,,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.9605,,0.9034722,,67.67607199999999,,60429.0706446056,,1.7,,,,,,,,,,28.6994838889778,,,,,,,,,,,,,,,,,,,,228.49200000000002,1.4215,5737.0,131.98,4.2756300000000005,0.0745082,1.21763,0.0589447,2019-08-02 00:39:26,lipponen,,5065,sector1
25226885,25226885.01,,,,,,,,,PC,,11.9329,0.006999999999999999,326.957969,-20.235107,1.6380000000000001,0.08,-12.488,0.08,2458325.8415,,1.63125,,2333.4082489999996,,883416.604382057,,2.56666666666667,,,,,,,,,,41.1147235452682,,,,,,,,,,,,,,,,,,,,578.1669999999999,17.6165,6222.0,132.256,4.14893,0.0860199,1.5281200000000001,0.08316339999999998,2019-06-06 03:40:31,lipponen,,3787,sector1
25226885,25226885.02,,,,,,,,,PC,,11.9329,0.006999999999999999,326.957969,-20.235107,1.6380000000000001,0.08,-12.488,0.08,2458326.661,,1.630556,,4529.902496,,984581.610895565,,2.56666666666667,,,,,,,,,,14.951973716145,,,,,,,,,,,,,,,,,,,,578.1669999999999,17.6165,6222.0,132.256,4.14893,0.0860199,1.5281200000000001,0.08316339999999998,2019-06-06 03:40:31,lipponen,,3787,sector1
25227021,25227021.01,,,,,,,,,PC,,11.3306,0.008,326.953733,-19.954167,-23.223000000000003,0.084,-25.638,0.08800000000000001,2459080.5209999997,,,,9.837776,,9020.0,,10.992,,,,,,0.095,,,,13.979000000000001,,,,,,,,,,,,,,,,,,,,369.694,6.653,6052.0,120.476,4.2326,0.0752815,1.3467,0.061897,2020-10-05 01:40:47,steuer,,36221,Found with our in-house single transit finder; transit finder output attached under 'Files'
25314899,25314899.01,,,,,,,,,PC,,10.8452,0.006,351.617354,50.012001,-113.57700000000001,2.827,-57.256,1.432,2458765.6846,,3.367346,0.002634,1.092366,0.048425,1005.6,44.6,1.632,0.146,,,,,,,,,3.74,0.08,,,216.6,,977.0,,,,0.0402,,,,,,,,,,105.8117,,5143.0,,,,0.919824,,2020-01-02 17:49:14,damboiu,,8510,Host star is likely to be very young
25354620,25354620.01,,,,,,,,,PC,,11.8068,0.006999999999999999,328.31082599999996,-22.902821,11.414000000000001,0.077,-1.079,0.07400000000000001,2458323.7492,0.0006,5.02335,0.00021,7.308749000000001,,6709.0,,0.09300000000000001,0.008,84.52,0.77,0.94,0.08,0.096,0.044000000000000004,9.81,1.64,14.61,7.58,,,,,,,0.71,0.4,,,,,,,,,,,403.39300000000003,8.002,5482.0,127.009,4.13163,0.082784,1.39429,0.0789346,2020-08-10 07:20:18,montalto,,29415,"new CTOI, Montalto et al. (2020)"
25758307,25758307.01,,,,,,,,,PC,,10.9677,0.006999999999999999,10.029033,26.102983,-2.557,0.064,-100.24700000000001,0.055,2458765.2912,,0.9033459999999999,0.00031299999999999996,0.45827700000000005,0.041259,422.0,38.0,1.3630000000000002,0.055,,,,,,,,,1.38,0.07,,,329.6,,1086.0,,,,0.01566,,,,,,,,,,57.3632,0.15435,3910.0,157.0,4.668019999999999,0.0102921,0.580201,0.0171379,2020-01-02 17:56:09,damboiu,,8512,"USP Candidate, low s2n"
25879023,25879023.01,,,,,,,,,PC,,13.9819,0.006,248.849498,-50.987539,-1.162,2.9019999999999997,-13.752,2.9019999999999997,2458630.50963232,0.00377192,2.04948261,0.0005953999999999999,32.309796,1.542841,29320.0,1420.0,3.3480000000000003,0.584,86.7,2.8,0.307,0.261,0.17124,0.00588,5.33,0.48,13.47,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-13 10:41:06,bouma,tfopwg,18718,"Crowded. HJ or EB. Collinder 307 (CG18, 30Myr). pmDec off."
26264354,26264354.01,,,,,,,,,PC,,10.7846,0.006999999999999999,153.401713,-11.907183999999999,4.063,0.073,-11.466,0.078,2458543.6864,0.0009,0.29048,2e-05,1.7102950000000001,,1574.0,,0.038,0.004,36.8,12.87,0.93,0.01,0.044000000000000004,0.005,1.16,0.4,7.58,1.26,,,,,,,0.35,0.32,,,,,,,,,,,377.25699999999995,8.4385,6617.0,122.846,4.18567,0.09111010000000001,1.57655,0.0748542,2020-08-10 07:20:18,montalto,,29314,"new CTOI, Montalto et al. (2020)"
26412438,26412438.01,,,,,,,,,PC,,11.2437,0.006999999999999999,291.354606,51.433509,3.367,0.057,2.222,0.045,2458684.5027799,0.00766905,1.03418438,0.00056774,4.8204970000000005,0.40179699999999996,4430.0,370.0,3.8739999999999997,0.253,,,0.067,0.051,0.06464,0.00161,2.26,0.14,8.46,0.36,,,,,,,,,,,,,,,,,,,294.357,2.146,6114.27,102.572,4.4172400000000005,0.0728521,1.09841,0.0443015,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:A,CM,2.4e+07yr. Rp=(0.69-0.81)Rj. b=0.00-0.16 (3-97HDI)."
26474800,26474800.01,,,,,,,,,PC,,13.5547,0.006999999999999999,291.55438599999997,51.043089,-9.611,0.034,-24.45,0.036000000000000004,2458684.548589971,,0.8059426573068061,,10.591861,,9708.033917774159,,3.1577057841501435,,,,0.9780548608988708,,0.0985293556143252,,,,,,,,,,,,,,,,,,,,,,,,1375.61,30.085,5016.02,50.9988,,,2.6213,,2020-07-14 13:40:48,wilson,,28551,Kepler candidate planet KOI-8078.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
26493474,26493474.01,,,,,,,,,PC,,10.1558,0.006,291.79042599999997,48.796544,-11.606,0.039,-6.821000000000001,0.040999999999999995,2458684.32,,1.56,,0.14468399999999998,,133.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.794,1.46,6151.1,138.49200000000002,4.1361300000000005,0.0873338,1.52999,0.0777662,2020-12-30 05:40:21,chiarello,,92818,Data are obtained using the LightKurve framework
26547036,26547036.01,2010.01,,,,,,,,PC,,9.26693,0.006,292.166942,53.487368999999994,40.519,0.067,11.106,0.066,2458712.3,0.01,0.0,0.0,10.912014,2.1736470000000003,10000.0,2000.0,8.5,1.0,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,109.19,0.321,5842.0,129.22799999999998,4.399290000000001,0.07931010000000001,1.07352,0.05293969999999999,2020-05-16 03:23:02,eisner,,19145,PHT candidate. Single transit event.
26748546,26748546.01,,,,,,,,,PC,,14.6806,0.006999999999999999,292.756071,49.264518,-3.077,0.044000000000000004,-7.542999999999999,0.055,2458688.033109335,,5.9019086700844765,,28.697146000000004,,26084.805502757525,,4.907094771886968,,,,0.42103855691188735,,0.16150791157945646,,,,,,,,,,,,,,,,,,,,,,,,1974.48,99.54,5742.0,125.0,3.9907,,1.6986400000000001,,2020-07-14 13:40:48,wilson,,28551,Kepler candidate planet KOI-6085.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
26947356,26947356.01,,,,,,,,,PC,,10.0034,0.006,355.83447,53.173759999999994,64.536,0.049,123.406,0.048,2458765.23,,6.82,,4.003206,,3680.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2666,0.205,5075.0,121.844,4.63814,0.082473,0.732272,0.044623199999999995,2021-02-15 07:58:34,chiarello,,94404,Possible 2 planets as the curve shows 2 distinct depths of different size
27064468,27064468.01,5126.01,,,,,,,,PC,,9.56225,0.006,151.659783,18.634063,-54.591,0.10099999999999999,-10.620999999999999,0.092,2459528.775,0.002,5.461,0.001,1.455862,0.152014,1340.0,140.0,3.8,0.1,,,,,,,,,4.9,0.3,,,,,,,,,,,,,,,,,,,160.414,1.598,6223.0,130.594,4.32747,0.08136399999999999,1.24471,0.057889499999999997,2022-01-12 13:04:16,eisner,,107182,PHT candidate. Transit at 2539.8 d coincides with time of high systematics.
27318774,27318774.01,4471.01,,,,,,,,PC,,14.4394,0.008,294.99634199999997,50.470046,4.282,0.047,-1.88,0.04,2458686.6735996557,,3.2450874655608386,,26.608177,,24209.177858643383,,8.116843084593315,,,,0.999999475023756,,0.1555929878196424,,,,,,,,,,,,,,,,,,,,,,,,1140.95,26.315,5778.0,25.0,4.37783,,1.09304,,2020-07-14 13:40:48,wilson,,28551,Kepler confirmed planet KOI-186.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
27354439,27354439.01,,,,,,,,,PC,,12.4969,0.006999999999999999,214.492781,37.297784,22.203000000000003,0.03,-36.74,0.043,2458738.7907,,0.48598199999999997,7.2e-05,1.333669,0.061453999999999995,1227.6,56.6,0.552,0.028999999999999998,,,,,,,,,1.52,0.03,,,257.5,,1021.0,,,,0.00884,,,,,,,,,,59.0302,0.10535,3462.0,157.0,4.82881,0.00313684,0.397665,0.0117764,2020-01-02 17:41:32,damboiu,,8507,"USP Candidate, low s2n"
27414976,27414976.01,,,,,,,,,PC,,13.7846,0.006999999999999999,215.094092,41.278673,-8.855,0.036000000000000004,-3.927,0.040999999999999995,2458741.338007,,3.9764510000000004,,36.263277,,32848.1,,2.3391,,,,0.0,,0.16657,,,,15.227526485908037,,,,,,,,,,,,,,,,,,,,401.30699999999996,4.4715,4693.0,122.0,4.54081,,0.769415,,2021-02-08 16:07:01,olmschenk,,93944,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
27515765,27515765.01,,,,,,,,,PC,,12.7125,0.006,66.09291999999999,43.007903999999996,-2.898,0.048,-4.775,0.027000000000000003,2458816.82,,0.86,,0.014527000000000002,,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.537,5.9105,6011.37,105.046,4.34004,0.09731530000000001,1.17998,0.0928793,2020-12-30 05:54:12,chiarello,,92819,All data are obtained using the LightKurve framework
27541714,27541714.01,,,,,,,,,PC,,12.0604,0.006999999999999999,122.62404599999999,14.191104999999999,-57.088,0.071,-34.441,0.043,2459520.083,0.027000000000000003,,,6.665122,1.249315,6120.0,1150.0,5.601,2.358,,,,,,,,,4.621,0.41700000000000004,,,,,,,,,,,,,,,,,,,75.9959,0.25925,3606.0,157.0,4.7020800000000005,0.00925841,0.5405800000000001,0.0159397,2022-01-10 16:28:29,vogl,,107104,Found with our in-house single transit finder; Sector 44
27549827,27549827.01,,,,,,,,,PC,,11.7699,0.006999999999999999,123.022658,16.902957,4.19,0.075,-10.572000000000001,0.04,2459501.853,0.005,,,18.991805,0.890669,17340.0,820.0,6.334,0.287,,,,,,,,,24.575,0.575,,,,,,,,,,,,,,,,,,,609.9730000000001,19.0155,6286.0,121.93799999999999,4.0632,0.08642480000000001,1.7076,0.09398510000000002,2022-01-10 16:32:51,vogl,,107105,Found with our in-house single transit finder; Sector 44
27550937,27550937.01,,,,,,,,,PC,,13.88,0.0,123.140253,16.023193,-16.723,0.135,-21.714000000000002,0.08,2459563.268,0.01,,,18.218654,10.868146000000001,16640.0,9960.0,3.8,1.74,,,,,,,,,2.8480000000000003,0.753,,,,,,,,,,,,,,,,,,,824.3660000000001,49.1765,31580.0,490.0,5.49946,0.106601,0.20199999999999999,0.031,2022-02-06 06:43:26,vogl,,107754,Found with our in-house single transit finder; Sector 46
27774415,27774415.01,4456.01,,,,,,,,PC,,13.2394,0.006999999999999999,296.20055099999996,49.140029999999996,-2.78,0.032,-12.122,0.036000000000000004,2458686.3091935376,,4.94136769437929,,9.1637,,8404.562341577659,,4.045122071560131,,,,0.7263512409615339,,0.0916764001342639,,,,,,,,,,,,,,,,,,,,,,,,739.4119999999999,11.158,5550.93,21.5889,4.184419999999999,,1.3256700000000001,,2020-07-14 13:40:48,wilson,,28551,Kepler confirmed planet KOI-128.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
27847307,27847307.01,,,,,,,,,PC,,13.6764,0.009000000000000001,296.507374,49.457231,0.755,0.11599999999999999,-13.288,0.106,2458684.5407236917,,2.497575212640493,,26.529723999999998,,24138.666067425478,,5.5229668857486285,,,,0.7690914286863036,,0.15536623206934472,,,,,,,,,,,,,,,,,,,,,,,,1122.19,74.875,6015.1,24.9,4.15674,,1.45655,,2020-07-14 13:40:48,wilson,,28551,Kepler confirmed planet KOI-1416.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
27858644,27858644.01,,,,,,,,,FP,,13.286,0.006,278.907461,32.994892,-78.0,8.0,-748.0,8.0,2459017.12,0.01,,,75.295891,2.1736470000000003,67000.0,2000.0,6.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-17 22:33:17,deen,,95522,FP: Contaminated transit from nearby EB
27896467,27896467.01,,,,,,,,,PC,,9.252180000000001,0.006,279.10381,29.959923,2.655,0.034,20.230999999999998,0.042,2459010.38,,8.25,,1.71123,,1574.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.805,0.8255,5941.0,140.841,3.92829,0.0812184,1.8732900000000001,0.0882816,2021-02-15 08:11:30,chiarello,,94405,Possible two bodies in orbit around the main star as seen in the light curve
27916356,27916356.01,3534.01,,,,,,,,PC,,12.6877,0.006999999999999999,296.837248,48.239969,0.961,0.025,8.429,0.026000000000000002,2458684.0863739303,,3.235977802119727,,8.967452,,8225.314138761416,,5.608324877714771,,,,0.8224565676700134,,0.09069351762260308,,,,,,,,,,,,,,,,,,,,,,,,587.039,5.0285,5613.0,107.744,4.19602,0.07596710000000001,1.31474,0.05959299999999999,2020-07-14 13:40:48,wilson,,28551,Kepler confirmed planet KOI-17.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
27986571,27986571.01,,,,,,,,,PC,,13.8313,0.006,10.356289,-22.352281,-463.23,0.043,-381.76599999999996,0.025,2458402.15,0.008,,,10.3638,0.760281,9500.0,700.0,7.0,0.5,,,,,0.09699999999999999,0.003,,,0.126,0.005,,,,,,,,,,,,,,,,,,,9.09849,0.002385,,,,,,,2021-03-22 18:17:35,deen,,95608,WD single transit (nominal period: 41000 years!!!)
